,user_id,username,post_md_like,post_md_retweet,post_md_reply,post_md_quote,post_text,post_text_length
69,06561D6F-2DDE-40E0-913F-7D3A3E6AA20A,,4.0,,0,,,0.0
70,CD4742DC-FA07-4257-9AEC-C02A6AC445C5,,6.0,,0,,,0.0
71,97BD26BF-5142-4C30-B782-12598263B12D,,12.0,,2,,,69.0
72,A4CCD44A-D0DA-4C38-92A7-53D8EC86E4C7,,1.0,,0,,,0.0
73,62C20C19-3499-4646-8F16-9E1129DE5C54,,0.0,,0,,,0.0
74,A17722EC-B478-48AD-BD5F-4FF927871BB5,,0.0,,0,,,0.0
75,4624E23C-468C-428E-BD1C-7AFE7417FA9C,,3.0,,0,,,72.0
76,623E8129-F4CF-414D-AECB-42FF427D2E53,,3.0,,0,,,0.0
77,61E9D894-C708-487C-A5D4-3E34734E3BCF,,1.0,,0,,,0.0
78,5B2B215B-F344-4D5E-AC51-AA074AE336F1,,14.0,,0,,,12.0
79,29E9E37C-2C71-4A04-95B9-88A56654F11D,,5.0,,0,,,29.0
80,61780A61-BC5F-42EA-8A98-AA076BB0635A,,5.0,,0,,,0.0
81,119B81BB-FF56-4497-8CBE-8AF175A0FD8C,,4.0,,0,,,0.0
82,9DE9D8F0-6C0E-4740-ABCD-AD3A341785D8,,1.0,,0,,,14.0
83,E602C5B6-A09E-45A0-8830-02B09853D8CC,,4.0,,0,,,13.0
84,BCD799FC-0861-4926-B98C-51311646BC92,,7.0,,0,,,0.0
85,4DAE3114-FDBA-4AA2-8CC8-7822787F9FD8,,4.0,,0,,,0.0
86,E4BE636B-AD95-4C9E-884F-BD02AF2B8CD2,,8.0,,0,,,0.0
87,6B8D8D15-82D3-49A7-BE29-288142723FA9,,5.0,,0,,,0.0
88,46FD0E86-525A-439A-BB4B-12364BFDCD78,,7.0,,0,,,0.0
89,A4865927-A1B9-439F-90A4-A18A09098345,,2.0,,0,,,0.0
90,A0238B68-6997-41E3-950B-5111A2B58B92,,0.0,,0,,,5.0
91,1583FE10-9C26-467A-89A4-570D48FD41E3,,14.0,,0,,,0.0
92,2A67166E-A401-4D54-9D4B-87E48B1B45E0,,4.0,,0,,,0.0
93,B97EA30F-352B-4EEE-BFA2-6BD5DD484AD1,,1.0,,0,,,0.0
94,4D20A4D5-A879-4A9C-95F8-A318E287178B,,5.0,,1,,,0.0
95,1519C4EB-E2A1-4926-92AA-BA9671C706E0,,1.0,,0,,,0.0
96,67AFD68D-E08C-439E-84F3-9670285C6753,,28.0,,1,,,0.0
97,7C4C25D6-72EA-41E5-8FAA-59C4B2411698,,2.0,,0,,,137.0
98,CA59D5C4-42A1-4A0F-ACE2-43E62EF74303,,12.0,,3,,,49.0
99,9C0C0533-A62F-4877-82F2-96681B07CA8A,,1.0,,0,,,0.0
100,5DCB4509-BC16-49E0-98E1-CCBA0B6AF0ED,,2.0,,0,,,28.0
101,833B1C7F-75D9-45AE-9BC6-83C3FBE45494,,4.0,,0,,,10.0
102,1E405A02-FD78-4C74-83AF-8AEBCD76B9F9,,6.0,,3,,,35.0
103,EE33AA0F-27C5-4A40-AD7A-1B8FEFB29237,,14.0,,1,,,0.0
104,89D6BF81-F0B8-4E4E-99FE-04060BB50691,,1.0,,0,,,92.0
105,24AF0972-AB25-4038-8BCC-38DCEBD06034,,3.0,,0,,,31.0
106,1670EC7B-BA39-4FDC-8571-BA735BF1BB72,,0.0,,0,,,0.0
107,18E60F77-281F-4CD7-BC82-63A728DE7327,,11.0,,0,,,0.0
108,45FFFE3A-EB56-4DB6-A044-710A01DAB050,,6.0,,0,,,69.0
109,DA9A90EB-711B-4FED-BE67-6937F4C3F942,,2.0,,0,,,2.0
110,720F971D-1B76-4CF8-8010-1152D6ED0A6F,,3.0,,0,,,0.0
111,DA6DC057-00BE-40A3-8C05-402FAC944878,,2.0,,0,,,21.0
112,E9B286E7-1E89-4A7B-98EB-825B5EA6CE8A,,6.0,,0,,,15.0
113,1CBD347C-BD74-49CB-B2BC-503D8B903A4D,,4.0,,0,,,53.0
114,1BFE314F-6C14-4FE5-95F7-854FBDAE9A50,,5.0,,0,,,10.0
115,AEEE7F9E-E74A-46B2-B3E7-62A6BF1D8D0D,,3.0,,0,,,40.0
116,BCD799FC-0861-4926-B98C-51311646BC92,,7.0,,0,,,0.0
117,B0D7B029-41F9-45C0-A448-220A434A435B,,4.0,,0,,,11.0
118,78E3D9D1-8F80-4D51-A521-B84B1F2BD5AC,,1.0,,0,,,0.0
119,56575F5B-9889-4914-81F9-0713B96E7939,,4.0,,0,,,4.0
120,91A4720A-87A2-448C-9D9A-C87023CED2DF,,2.0,,0,,,17.0
121,0CA73C78-D1DF-4508-86CC-0044299A2560,,3.0,,0,,,0.0
122,2F690125-7230-45F2-BAE9-39C4912D6B78,,2.0,,0,,,21.0
123,238EB07E-31BC-4A91-A9DB-0C562034B10C,,2.0,,0,,,48.0
124,C6987768-8B97-48FD-8A4B-47EDAB00F895,,1.0,,0,,,13.0
125,59F3A1FA-8568-40F7-996F-5DB40C96E881,,5.0,,0,,,11.0
126,999EEE2C-6391-4039-A553-AE0364C33D2A,,6.0,,1,,,8.0
127,411A71CD-53EE-4FEE-BE2D-BC43ADA9A045,,0.0,,0,,,8.0
128,0030073F-B76E-4FA1-A3F7-45708C39A4B5,,1.0,,0,,,0.0
129,B5BA984F-9305-4C7D-911F-81A0A13202D2,,2.0,,1,,,0.0
130,270C367C-A1A4-4C5B-B6F9-C71644F1DC5D,,1.0,,0,,,0.0
131,5D9CD529-1BE2-4D56-96F8-2D67A5C15E04,,10.0,,1,,,23.0
132,793E5C4A-A648-438C-8D84-8E6CB2151078,,0.0,,0,,,0.0
133,CDE29069-75B9-49FC-B43F-7CCBC39599D6,,3.0,,0,,,10.0
134,E67322F7-EC54-4BFD-9235-6BBF4FFEB914,,2.0,,2,,,0.0
135,4DF43D16-97BD-4B7C-A6BC-C847E1F3A788,,3.0,,1,,,13.0
136,EDC41871-5C36-4835-A16B-D03488E04CAC,,6.0,,0,,,0.0
137,953FFE81-75A2-489E-8827-A3A16EFF3A5F,,0.0,,0,,,0.0
138,B84D3AA4-C7F0-4023-8354-70BC8E70BB8E,,9.0,,0,,,30.0
139,FE680841-FB4D-42F8-94E5-8611FDF1162D,,5.0,,0,,,0.0
140,1CBD347C-BD74-49CB-B2BC-503D8B903A4D,,4.0,,0,,,59.0
141,5D89BF68-FAA4-4282-B2C4-0D1BABC3756B,,1.0,,0,,,0.0
142,6708F53E-DA8E-4805-B277-5F2109B20375,,6.0,,1,,,0.0
143,5E14BE29-BB66-40AB-BC38-C24F3B847CB7,,0.0,,0,,,0.0
144,E3EEA2E5-8F54-432F-A735-B550F5726221,,1.0,,0,,,4.0
