,Unnamed: 0,user_id,username,username_uppercase,username_lowercase,username_numeric,username_special,username_length,username_se,screenname,screenname_uppercase,screenname_lowercase,screenname_numeric,screenname_special,screenname_length,screenname_se,screenname_emoji,screenname_hashtag,screenname_word,description,description_length,user_md_follower,user_md_following,user_md_follow_ratio,user_md_total_post,user_md_total_like,user_md_verified,user_md_protected,label
27,885,A2049A8D-8C4B-4F57-90C8-48EB35507FD9,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
28,1824,68BC7D30-6C98-4F0E-AC24-9D8960AC9469,,,,,,,,,,,,,,,,,,,,,,154.0,0.0,0.0,0.0,False,True
29,641,D1124906-9743-4357-893F-34D3419D92AC,,,,,,,,,,,,,,,,,,,,,,31.714285714285715,0.0,20.0,0.0,False,True
30,1591,D6ACC2D8-019D-4871-B655-88D912A94DB1,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
31,255,619A4F96-DB33-4579-A608-15EB44CA7C98,,,,,,,,,,,,,,,,,,,,,,29.657894736842103,0.0,20.0,0.0,False,True
32,1481,4F17D9A4-FCE9-4BAB-80BF-7E44ED4768EF,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
33,1119,B145038B-6CD6-4978-960B-5E8BB73D2B9D,,,,,,,,,,,,,,,,,,,,,,29.837209302325583,0.0,20.0,0.0,False,True
34,1877,8E435EEA-BE56-407A-B75B-A2B36A53FFDB,,,,,,,,,,,,,,,,,,,,,,85.5,0.0,20.0,0.0,False,True
35,221,475F1954-B911-4FB9-85C3-12A875F4EC0B,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
36,1500,1A484202-0A4C-4E64-887E-7FF04BC09032,,,,,,,,,,,,,,,,,,,,,,82.5,0.0,20.0,0.0,False,True
37,109,A7327AF6-BB67-4F83-8F65-0A31084617CF,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
38,511,77DE0661-45D7-499E-A514-2B4C804E59A9,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,False,True
39,1064,B5324390-C54D-47A3-AFC7-59CCD8FC8DCC,,,,,,,,,,,,,,,,,,,,,,22.29943502824859,9.0,9.0,0.0,False,True
